"","Date","strategy.x","strategy.y","naive","ch","diff"
"1","01/01/2019",NA,NA,248.2,NA,NA
"2","01/02/2019",334.88,304.81,NA,304.81,NA
"3","01/03/2019",266.39,266.39,NA,266.39,NA
"4","01/04/2019",229.8,205.88,230.8,205.88,-24.92
"5","01/05/2019",205.88,NA,NA,NA,NA
"6","01/06/2019",168.4,188.39,188.39,168.4,-19.99
"7","01/08/2019",196.4,123.88,123.88,123.88,0
"8","01/09/2019",98.2,128.2,128.2,98.2,-30
"9","01/10/2019",136.2,136.2,136.2,136.2,0
"10","01/11/2019",136.2,136.2,136.2,136.2,0
"11","01/13/2019",272.4,NA,NA,NA,NA
"12","01/15/2019",98.2,NA,NA,NA,NA
"13","01/16/2019",98.2,123.88,123.88,98.2,-25.68
"14","01/17/2019",148.2,201.4,NA,148.2,NA
"15","01/19/2019",198.2,NA,NA,NA,NA
"16","01/20/2019",136.2,136.2,136.2,136.2,0
"17","01/23/2019",233.54,233.54,218.2,233.54,15.34
"18","01/25/2019",198.2,NA,NA,NA,NA
"19","01/27/2019",136.2,136.2,740.8,136.2,-604.6
"20","01/28/2019",285.8,221.2,316.2,221.2,-95
"21","01/30/2019",233.54,233.54,116.77,233.54,116.77
"22","01/31/2019",148.2,131.77,131.77,131.77,0
"23","02/01/2019",198.2,136.2,136.2,136.2,0
"24","02/02/2019",98.2,116.77,116.77,98.2,-18.57
"25","02/03/2019",136.2,272.4,NA,136.2,NA
"26","02/04/2019",285.8,221.2,316.2,221.2,-95
"27","02/06/2019",116.77,116.77,NA,116.77,NA
"28","02/07/2019",148.2,201.4,272.4,148.2,-124.2
"29","02/08/2019",198.2,136.2,136.2,136.2,0
"30","02/11/2019",136.2,136.2,316.2,136.2,-180
"31","02/18/2019",144.8,NA,NA,NA,NA
"32","02/21/2019",136.2,136.2,NA,136.2,NA
"33","02/23/2019",198.2,NA,NA,NA,NA
"34","02/24/2019",136.2,136.2,NA,136.2,NA
"35","02/25/2019",136.2,NA,NA,NA,NA
"36","02/28/2019",148.2,201.4,NA,148.2,NA
"37","03/01/2019",198.2,NA,NA,NA,NA
"38","03/02/2019",98.2,NA,NA,NA,NA
"39","03/05/2019",118.2,NA,NA,NA,NA
"40","03/06/2019",118.2,118.2,218.2,118.2,-100
"41","03/07/2019",148.2,201.4,NA,148.2,NA
"42","03/09/2019",136.2,136.2,136.2,136.2,0
"43","03/11/2019",285.8,221.2,316.2,221.2,-95
"44","03/14/2019",148.2,201.4,NA,148.2,NA
"45","03/15/2019",198.2,136.2,136.2,136.2,0
"46","03/16/2019",198.2,NA,NA,NA,NA
"47","03/17/2019",136.2,NA,NA,NA,NA
"48","12/07/2018",198.2,218.2,190.8,198.2,7.39999999999998
"49","12/08/2018",198.2,218.2,218.2,198.2,-20
"50","12/09/2018",198.2,NA,NA,NA,NA
"51","12/10/2018",147.8,147.8,122.8,147.8,25
"52","12/11/2018",158.2,122.8,122.8,122.8,0
"53","12/12/2018",147.8,157.8,NA,147.8,NA
"54","12/13/2018",148.2,150.88,150.88,148.2,-2.68000000000001
"55","12/14/2018",158.2,158.2,158.2,158.2,0
"56","12/16/2018",148.2,221.2,173.2,148.2,-25
"57","12/17/2018",198.2,221.2,NA,198.2,NA
"58","12/18/2018",181.4,NA,NA,NA,NA
"59","12/19/2018",244.8,NA,NA,NA,NA
"60","12/20/2018",339.8,346.4,375.8,339.8,-36
"61","12/21/2018",469.89,453.5,453.5,453.5,0
"62","12/22/2018",407.2,NA,NA,NA,NA
"63","12/23/2018",361.5,363.87,740.8,361.5,-379.3
"64","12/24/2018",246.2,276.88,691.74,246.2,-445.54
"65","12/25/2018",367.2,346.4,281.2,346.4,65.2
"66","12/26/2018",419.88,434.88,464.88,419.88,-45
"67","12/27/2018",409.87,NA,NA,NA,NA
"68","12/28/2018",373.87,375.8,383.87,373.87,-10
"69","12/29/2018",355.87,373.87,314.87,355.87,41
"70","12/30/2018",355.87,366.46,296.88,355.87,58.99
"71","12/31/2018",285.8,254.8,298.8,254.8,-44
