"","airline","Date","CurrDate","n_day","wk_day","av_price","select","week","tri_d","tp","y_trans"
"1","Alaska Airlines","01/01/2019","2018-11-18",44,"Sunday",353.12,1,"6",15,"4",2.74104809716999
"2","Alaska Airlines","01/01/2019","2018-11-19",43,"Monday",316.8,1,"6",14,"4",2.65913352092783
"3","Alaska Airlines","01/01/2019","2018-11-22",40,"Thursday",333.3,1,"6",13,"4",2.69801687002705
"4","Alaska Airlines","01/01/2019","2018-11-24",38,"Saturday",351.5525,1,"5",13,"4",2.73777654787552
"5","Alaska Airlines","01/01/2019","2018-11-25",37,"Sunday",356.2,1,"5",12,"4",2.74741471343066
"6","Alaska Airlines","01/01/2019","2018-11-26",36,"Monday",356.2,1,"5",12,"4",2.74741471343066
"7","Alaska Airlines","01/01/2019","2018-11-27",35,"Tuesday",387.4,1,"5",12,"3",2.80771236859223
"8","Alaska Airlines","01/01/2019","2018-11-28",34,"Wednesday",405.87,1,"5",11,"3",2.84025692385842
"9","Alaska Airlines","01/01/2019","2018-11-29",33,"Thursday",391.105,1,"5",11,"3",2.81441271209439
"10","Alaska Airlines","01/01/2019","2018-11-30",32,"Friday",404.558,1,"5",11,"3",2.83801375559275
"11","Alaska Airlines","01/01/2019","2018-12-01",31,"Saturday",401.345,1,"4",10,"3",2.83247750875049
"12","Alaska Airlines","01/02/2019","2018-11-18",45,"Sunday",352.52,1,"6",15,"4",2.73979835688177
"13","Alaska Airlines","01/02/2019","2018-11-19",44,"Monday",352.52,1,"6",15,"4",2.73979835688177
"14","Alaska Airlines","01/02/2019","2018-11-20",43,"Tuesday",346.795,1,"6",14,"4",2.7277139736289
"15","Alaska Airlines","01/02/2019","2018-11-22",41,"Thursday",374.305,1,"6",14,"4",2.78328405888051
"16","Alaska Airlines","01/02/2019","2018-11-23",40,"Friday",374.305,1,"6",13,"4",2.78328405888051
"17","Alaska Airlines","01/02/2019","2018-11-24",39,"Saturday",374.305,1,"6",13,"4",2.78328405888051
"18","Alaska Airlines","01/02/2019","2018-11-27",36,"Tuesday",392.41,1,"5",12,"4",2.81675153082189
"19","Alaska Airlines","01/02/2019","2018-11-28",35,"Wednesday",394.305,1,"5",12,"3",2.82012838688816
"20","Alaska Airlines","01/02/2019","2018-11-29",34,"Thursday",358.8,1,"5",11,"3",2.75272673985821
"21","Alaska Airlines","01/02/2019","2018-12-01",32,"Saturday",358.8,1,"5",11,"3",2.75272673985821
"22","Alaska Airlines","01/03/2019","2018-11-18",46,"Sunday",342.8,1,"7",15,"4",2.71910486759996
