"","airline","Date","CurrDate","n_day","wk_day","av_price","select","week","tri_d","tp","pred","med","q25","q75"
"1","Alaska Airlines","01/01/2019","2018-12-02",30,"Sunday",416.665,1,"4",10,"3",436.741044455294,442.230911121743,312.888060665244,640.159882798021
"3","Alaska Airlines","01/01/2019","2018-12-04",28,"Tuesday",812.33,1,"4",9,"3",404.061784195889,405.083231890068,292.836339078625,585.708946293912
"4","Alaska Airlines","01/01/2019","2018-12-05",27,"Wednesday",784.2,1,"4",9,"3",410.100141339689,407.661022784594,295.306490669411,609.939912802095
"5","Alaska Airlines","01/01/2019","2018-12-06",26,"Thursday",428.266666666667,1,"4",9,"3",336.167901322496,334.490522292761,250.198299343339,474.980466401001
"6","Alaska Airlines","01/01/2019","2018-12-07",25,"Friday",408.05,1,"4",8,"3",360.240008660169,358.074370134423,264.541361436255,520.355801583073
"7","Alaska Airlines","01/01/2019","2018-12-08",24,"Saturday",407.2,1,"3",8,"3",412.730495075351,414.221246721407,293.461454005945,611.419297163371
"9","Alaska Airlines","01/02/2019","2018-12-03",30,"Monday",417.6,1,"4",10,"3",402.27691467415,397.788500081194,291.486399552961,588.350490086785
"10","Alaska Airlines","01/02/2019","2018-12-04",29,"Tuesday",415.666666666667,1,"4",10,"3",413.115639152323,410.069090106025,295.090576772986,609.175334681
"11","Alaska Airlines","01/02/2019","2018-12-05",28,"Wednesday",418.8,1,"4",9,"3",423.991321731891,425.869315649237,304.826956248186,618.207642166857
"12","Alaska Airlines","01/02/2019","2018-12-06",27,"Thursday",844.2,1,"4",9,"3",341.077568448103,339.659148408892,252.830996118119,485.707934985535
"13","Alaska Airlines","01/02/2019","2018-12-07",26,"Friday",422.1,1,"4",9,"3",358.564954708327,361.5310003306,265.35151260152,512.456509780943
"16","Alaska Airlines","01/03/2019","2018-12-03",31,"Monday",330.5,1,"4",10,"3",338.515414202381,341.726097529299,250.426135548308,484.056412626359
"17","Alaska Airlines","01/03/2019","2018-12-04",30,"Tuesday",330.5,1,"4",10,"3",354.778886731994,359.411842649759,261.339402910491,500.223482556647
"18","Alaska Airlines","01/03/2019","2018-12-05",29,"Wednesday",369.2,1,"4",10,"3",360.170866382992,359.831357028745,267.968955990004,518.148640598241
"19","Alaska Airlines","01/03/2019","2018-12-06",28,"Thursday",369.2,1,"4",9,"3",295.892914693856,294.224257554786,226.481345241413,412.963427359746
"20","Alaska Airlines","01/03/2019","2018-12-07",27,"Friday",369.2,1,"4",9,"3",313.767430439129,313.419739611722,236.688618090646,438.705882568952
"21","Alaska Airlines","01/03/2019","2018-12-08",26,"Saturday",366.1,1,"4",9,"3",367.148616766784,371.476933455481,267.523238199043,528.361385241109
"22","Alaska Airlines","01/04/2019","2018-12-02",33,"Sunday",295.5,1,"5",11,"3",300.967379326749,300.83838233931,228.712605908574,419.44123521979
"23","Alaska Airlines","01/04/2019","2018-12-03",32,"Monday",295.5,1,"5",11,"3",275.955531559023,275.625824769245,211.82514717288,386.678210885284
"24","Alaska Airlines","01/04/2019","2018-12-04",31,"Tuesday",295.5,1,"4",10,"3",295.047304710053,294.753575305569,223.752615619279,409.062679653285
"25","Alaska Airlines","01/04/2019","2018-12-05",30,"Wednesday",288.8,1,"4",10,"3",299.694787685534,297.689683261104,229.942009025314,411.866217829325
"27","Alaska Airlines","01/04/2019","2018-12-07",28,"Friday",288.8,1,"4",9,"3",266.307512376947,267.47375729681,206.342013222751,369.244115719737
"29","Alaska Airlines","01/05/2019","2018-12-02",34,"Sunday",327.133333333333,1,"5",11,"3",290.189699236622,288.395938191928,221.283917727375,406.524936495489
"30","Alaska Airlines","01/05/2019","2018-12-03",33,"Monday",327.133333333333,1,"5",11,"3",269.115609586966,269.087495244439,208.117373854535,369.499723703656
"32","Alaska Airlines","01/05/2019","2018-12-05",31,"Wednesday",335.6475,1,"4",10,"3",297.203350777165,296.896242010223,224.306270984134,416.332739630445
"33","Alaska Airlines","01/05/2019","2018-12-06",30,"Thursday",346.831666666667,1,"4",10,"3",246.155439077825,244.921925697164,194.934994917407,332.136462549986
"34","Alaska Airlines","01/05/2019","2018-12-07",29,"Friday",343.831666666667,1,"4",10,"3",260.850832567513,259.581884175879,203.746651540586,360.773414578179
"35","Alaska Airlines","01/05/2019","2018-12-08",28,"Saturday",335.6475,1,"4",9,"3",294.085681455111,295.810424911955,222.791221378538,410.021507404295
"36","Alaska Airlines","01/06/2019","2018-12-02",35,"Sunday",343.92,1,"5",12,"3",306.07004419485,307.535574317008,233.229924074258,427.147878632721
"37","Alaska Airlines","01/06/2019","2018-12-03",34,"Monday",334.6,1,"5",11,"3",277.26079721583,278.572457887991,213.82219589766,381.6354112636
"38","Alaska Airlines","01/06/2019","2018-12-04",33,"Tuesday",334.6,1,"5",11,"3",285.84946332755,286.144406732998,219.173838246263,397.40578583815
"39","Alaska Airlines","01/06/2019","2018-12-05",32,"Wednesday",319.933333333333,1,"5",11,"3",290.985082355168,290.777786355026,222.763192232249,403.461137861539
"40","Alaska Airlines","01/06/2019","2018-12-06",31,"Thursday",334.6,1,"4",10,"3",255.977838631836,257.011682234539,200.387334626992,348.467529373719
"43","Alaska Airlines","01/07/2019","2018-12-02",36,"Sunday",172.5,1,"5",12,"4",205.035682577593,205.366946652316,170.39292078698,264.637114740948
"44","Alaska Airlines","01/07/2019","2018-12-03",35,"Monday",172.5,1,"5",12,"3",196.624202549381,196.527883876632,164.826324052472,247.915594585607
"45","Alaska Airlines","01/07/2019","2018-12-04",34,"Tuesday",172.5,1,"5",11,"3",200.482870153545,202.306374815727,166.243018469355,256.78281899773
"47","Alaska Airlines","01/07/2019","2018-12-06",32,"Thursday",198.5,1,"5",11,"3",178.659384247164,178.704572137072,152.19948799276,221.30510977448
"48","Alaska Airlines","01/07/2019","2018-12-07",31,"Friday",198.5,1,"4",10,"3",189.718467493651,189.440007317943,160.127279602798,238.438107215169
"49","Alaska Airlines","01/07/2019","2018-12-08",30,"Saturday",148.2,1,"4",10,"3",210.223144523368,209.955391995747,172.721497988107,273.639033582824
"50","Alaska Airlines","01/08/2019","2018-12-02",37,"Sunday",128.2,1,"5",12,"4",135.351020808125,135.329280878452,126.742148542005,149.800278202495
"51","Alaska Airlines","01/08/2019","2018-12-03",36,"Monday",128.2,1,"5",12,"4",132.423117742424,132.532741220978,125.16631423965,144.229176773552
"52","Alaska Airlines","01/08/2019","2018-12-04",35,"Tuesday",128.2,1,"5",12,"3",133.314941617055,133.527633981964,125.556476032628,145.485364249877
"53","Alaska Airlines","01/08/2019","2018-12-05",34,"Wednesday",196.4,1,"5",11,"3",133.617253224426,133.751081946117,125.880771942901,146.777268265128
"54","Alaska Airlines","01/08/2019","2018-12-06",33,"Thursday",128.2,1,"5",11,"3",128.984926580448,128.92749748864,123.002688455602,138.900035866382
"55","Alaska Airlines","01/08/2019","2018-12-07",32,"Friday",128.2,1,"5",11,"3",129.918644278746,130.109064294607,123.595538245342,140.375080260138
"57","Alaska Airlines","01/09/2019","2018-12-02",38,"Sunday",128.2,1,"5",13,"4",168.342334743979,168.562424886668,146.998189540327,203.292518303851
"58","Alaska Airlines","01/09/2019","2018-12-03",37,"Monday",128.2,1,"5",12,"4",161.258315028501,160.861145459799,142.51367500282,191.864494507787
"59","Alaska Airlines","01/09/2019","2018-12-04",36,"Tuesday",128.2,1,"5",12,"4",163.930033500928,164.217670347905,144.817467698376,195.585983563902
"60","Alaska Airlines","01/09/2019","2018-12-05",35,"Wednesday",98.2,1,"5",12,"3",165.550996368121,165.911360214451,145.478191796751,199.936984814363
