"","airline","Date","CurrDate","n_day","wk_day","ch_price"
"1","Alaska Airlines","01/01/2019","2018-11-18",44,"Sunday",290.2
"2","Alaska Airlines","01/01/2019","2018-11-19",43,"Monday",293.4
"3","Alaska Airlines","01/01/2019","2018-11-20",42,"Tuesday",258.8
"4","Alaska Airlines","01/01/2019","2018-11-21",41,"Wednesday",308.8
"5","Alaska Airlines","01/01/2019","2018-11-22",40,"Thursday",308.8
"6","Alaska Airlines","01/01/2019","2018-11-23",39,"Friday",308.8
"7","Alaska Airlines","01/01/2019","2018-11-24",38,"Saturday",308.8
"8","Alaska Airlines","01/01/2019","2018-11-25",37,"Sunday",356.2
"9","Alaska Airlines","01/01/2019","2018-11-26",36,"Monday",356.2
"10","Alaska Airlines","01/01/2019","2018-11-27",35,"Tuesday",359.4
"11","Alaska Airlines","01/01/2019","2018-11-28",34,"Wednesday",392.41
"12","Alaska Airlines","01/01/2019","2018-11-29",33,"Thursday",388.81
"13","Alaska Airlines","01/01/2019","2018-11-30",32,"Friday",397.39
"14","Alaska Airlines","01/01/2019","2018-12-01",31,"Saturday",397.39
"1179","American Airlines","01/01/2019","2018-11-18",44,"Sunday",417.2
"1180","American Airlines","01/01/2019","2018-11-19",43,"Monday",422.2
"1181","American Airlines","01/01/2019","2018-11-20",42,"Tuesday",422.2
"1182","American Airlines","01/01/2019","2018-11-24",38,"Saturday",417.2
"1183","American Airlines","01/01/2019","2018-11-25",37,"Sunday",417.2
"1184","American Airlines","01/01/2019","2018-11-26",36,"Monday",417.2
"1185","American Airlines","01/01/2019","2018-11-27",35,"Tuesday",417.2
"1186","American Airlines","01/01/2019","2018-11-29",33,"Thursday",417.2
"1187","American Airlines","01/01/2019","2018-11-30",32,"Friday",417.2
"1188","American Airlines","01/01/2019","2018-12-01",31,"Saturday",417.2
"2497","Delta","01/01/2019","2018-11-18",44,"Sunday",308.8
"2498","Delta","01/01/2019","2018-11-19",43,"Monday",364.8
"2499","Delta","01/01/2019","2018-11-20",42,"Tuesday",313.8
"2500","Delta","01/01/2019","2018-11-21",41,"Wednesday",364.8
"2501","Delta","01/01/2019","2018-11-22",40,"Thursday",364.8
"2502","Delta","01/01/2019","2018-11-23",39,"Friday",364.8
"2503","Delta","01/01/2019","2018-11-24",38,"Saturday",364.8
"2504","Delta","01/01/2019","2018-11-25",37,"Sunday",487.2
"2505","Delta","01/01/2019","2018-11-26",36,"Monday",487.2
"2506","Delta","01/01/2019","2018-11-27",35,"Tuesday",364.8
"2507","Delta","01/01/2019","2018-11-28",34,"Wednesday",364.8
"2508","Delta","01/01/2019","2018-11-29",33,"Thursday",364.8
"2509","Delta","01/01/2019","2018-11-30",32,"Friday",404.8
"2510","Delta","01/01/2019","2018-12-01",31,"Saturday",364.8
"3795","JetBlue Airways","01/01/2019","2018-11-18",44,"Sunday",407.5
"3796","JetBlue Airways","01/01/2019","2018-11-19",43,"Monday",407.5
"3797","JetBlue Airways","01/01/2019","2018-11-20",42,"Tuesday",407.5
"3798","JetBlue Airways","01/01/2019","2018-11-21",41,"Wednesday",361.5
"3799","JetBlue Airways","01/01/2019","2018-11-24",38,"Saturday",361.5
"3800","JetBlue Airways","01/01/2019","2018-11-25",37,"Sunday",361.5
"3801","JetBlue Airways","01/01/2019","2018-11-26",36,"Monday",361.5
"3802","JetBlue Airways","01/01/2019","2018-11-27",35,"Tuesday",407.5
"3803","JetBlue Airways","01/01/2019","2018-11-28",34,"Wednesday",361.5
"3804","JetBlue Airways","01/01/2019","2018-11-29",33,"Thursday",361.5
"3805","JetBlue Airways","01/01/2019","2018-11-30",32,"Friday",361.5
"3806","JetBlue Airways","01/01/2019","2018-12-01",31,"Saturday",361.5
"5078","Spirit Airlines","01/01/2019","2018-11-18",44,"Sunday",326.88
"5079","Spirit Airlines","01/01/2019","2018-11-19",43,"Monday",326.88
"5080","Spirit Airlines","01/01/2019","2018-11-20",42,"Tuesday",326.88
"5081","Spirit Airlines","01/01/2019","2018-11-21",41,"Wednesday",326.88
"5082","Spirit Airlines","01/01/2019","2018-11-22",40,"Thursday",290.88
"5083","Spirit Airlines","01/01/2019","2018-11-23",39,"Friday",326.88
"5084","Spirit Airlines","01/01/2019","2018-11-24",38,"Saturday",326.88
"5085","Spirit Airlines","01/01/2019","2018-11-27",35,"Tuesday",290.88
"5086","Spirit Airlines","01/01/2019","2018-11-28",34,"Wednesday",290.88
"5087","Spirit Airlines","01/01/2019","2018-11-29",33,"Thursday",316.88
"5088","Spirit Airlines","01/01/2019","2018-11-30",32,"Friday",385.88
"5089","Spirit Airlines","01/01/2019","2018-12-01",31,"Saturday",316.88
"5868","Sun Country Airlines","01/01/2019","2018-11-18",44,"Sunday",214.53
"5869","Sun Country Airlines","01/01/2019","2018-11-19",43,"Monday",277.53
"5870","Sun Country Airlines","01/01/2019","2018-11-20",42,"Tuesday",277.53
"5871","Sun Country Airlines","01/01/2019","2018-11-21",41,"Wednesday",277.53
"5872","Sun Country Airlines","01/01/2019","2018-11-22",40,"Thursday",277.53
"5873","Sun Country Airlines","01/01/2019","2018-11-23",39,"Friday",277.53
"5874","Sun Country Airlines","01/01/2019","2018-11-24",38,"Saturday",277.53
"5875","Sun Country Airlines","01/01/2019","2018-11-27",35,"Tuesday",244.53
"5876","Sun Country Airlines","01/01/2019","2018-11-28",34,"Wednesday",244.53
"5877","Sun Country Airlines","01/01/2019","2018-11-29",33,"Thursday",244.53
"5878","Sun Country Airlines","01/01/2019","2018-11-30",32,"Friday",244.53
"5879","Sun Country Airlines","01/01/2019","2018-12-01",31,"Saturday",244.53
"6396","United","01/01/2019","2018-11-18",44,"Sunday",304.81
"6397","United","01/01/2019","2018-11-19",43,"Monday",309.8
"6398","United","01/01/2019","2018-11-20",42,"Tuesday",305.3
"6399","United","01/01/2019","2018-11-21",41,"Wednesday",300.31
"6400","United","01/01/2019","2018-11-22",40,"Thursday",300.31
"6401","United","01/01/2019","2018-11-23",39,"Friday",248.2
"6402","United","01/01/2019","2018-11-24",38,"Saturday",252.3
"6403","United","01/01/2019","2018-11-25",37,"Sunday",356.2
"6404","United","01/01/2019","2018-11-26",36,"Monday",356.2
"6405","United","01/01/2019","2018-11-27",35,"Tuesday",300.31
"6406","United","01/01/2019","2018-11-28",34,"Wednesday",300.31
"6407","United","01/01/2019","2018-11-29",33,"Thursday",300.31
"6408","United","01/01/2019","2018-11-30",32,"Friday",300.31
"6409","United","01/01/2019","2018-12-01",31,"Saturday",304.81
"15","Alaska Airlines","01/02/2019","2018-11-18",45,"Sunday",290.2
"16","Alaska Airlines","01/02/2019","2018-11-19",44,"Monday",290.2
"17","Alaska Airlines","01/02/2019","2018-11-20",43,"Tuesday",290.2
"18","Alaska Airlines","01/02/2019","2018-11-21",42,"Wednesday",356.2
"19","Alaska Airlines","01/02/2019","2018-11-22",41,"Thursday",356.2
"20","Alaska Airlines","01/02/2019","2018-11-23",40,"Friday",356.2
"21","Alaska Airlines","01/02/2019","2018-11-24",39,"Saturday",356.2
"22","Alaska Airlines","01/02/2019","2018-11-27",36,"Tuesday",392.41
"23","Alaska Airlines","01/02/2019","2018-11-28",35,"Wednesday",392.41
"24","Alaska Airlines","01/02/2019","2018-11-29",34,"Thursday",358.8
"25","Alaska Airlines","01/02/2019","2018-11-30",33,"Friday",358.8
"26","Alaska Airlines","01/02/2019","2018-12-01",32,"Saturday",358.8
"1189","American Airlines","01/02/2019","2018-11-18",45,"Sunday",298.8
"1190","American Airlines","01/02/2019","2018-11-19",44,"Monday",303.81
"1191","American Airlines","01/02/2019","2018-11-20",43,"Tuesday",303.81
"1192","American Airlines","01/02/2019","2018-11-21",42,"Wednesday",417.2
"1193","American Airlines","01/02/2019","2018-11-22",41,"Thursday",298.8
"1194","American Airlines","01/02/2019","2018-11-24",39,"Saturday",417.2
"1195","American Airlines","01/02/2019","2018-11-27",36,"Tuesday",298.8
"1196","American Airlines","01/02/2019","2018-11-28",35,"Wednesday",417.2
"1197","American Airlines","01/02/2019","2018-11-30",33,"Friday",417.2
"2511","Delta","01/02/2019","2018-11-18",45,"Sunday",356.2
"2512","Delta","01/02/2019","2018-11-19",44,"Monday",356.2
"2513","Delta","01/02/2019","2018-11-20",43,"Tuesday",361.2
"2514","Delta","01/02/2019","2018-11-21",42,"Wednesday",356.2
"2515","Delta","01/02/2019","2018-11-22",41,"Thursday",356.2
"2516","Delta","01/02/2019","2018-11-23",40,"Friday",356.2
"2517","Delta","01/02/2019","2018-11-24",39,"Saturday",356.2
"2518","Delta","01/02/2019","2018-11-25",38,"Sunday",323.395
"2519","Delta","01/02/2019","2018-11-26",37,"Monday",323.395
"2520","Delta","01/02/2019","2018-11-27",36,"Tuesday",356.2
"2521","Delta","01/02/2019","2018-11-28",35,"Wednesday",356.2
"2522","Delta","01/02/2019","2018-11-29",34,"Thursday",356.2
"2523","Delta","01/02/2019","2018-11-30",33,"Friday",364.8
"2524","Delta","01/02/2019","2018-12-01",32,"Saturday",364.8
"3807","JetBlue Airways","01/02/2019","2018-11-18",45,"Sunday",281.2
"3808","JetBlue Airways","01/02/2019","2018-11-19",44,"Monday",361.5
"3809","JetBlue Airways","01/02/2019","2018-11-20",43,"Tuesday",281.2
"3810","JetBlue Airways","01/02/2019","2018-11-21",42,"Wednesday",407.5
"3811","JetBlue Airways","01/02/2019","2018-11-22",41,"Thursday",407.5
"3812","JetBlue Airways","01/02/2019","2018-11-23",40,"Friday",361.5
"3813","JetBlue Airways","01/02/2019","2018-11-24",39,"Saturday",361.5
"3814","JetBlue Airways","01/02/2019","2018-11-25",38,"Sunday",299.1
"3815","JetBlue Airways","01/02/2019","2018-11-26",37,"Monday",299.1
"3816","JetBlue Airways","01/02/2019","2018-11-27",36,"Tuesday",281.2
"3817","JetBlue Airways","01/02/2019","2018-11-28",35,"Wednesday",281.2
"3818","JetBlue Airways","01/02/2019","2018-11-29",34,"Thursday",361.5
"3819","JetBlue Airways","01/02/2019","2018-11-30",33,"Friday",361.5
"3820","JetBlue Airways","01/02/2019","2018-12-01",32,"Saturday",407.5
"5090","Spirit Airlines","01/02/2019","2018-11-18",45,"Sunday",263.87
"5091","Spirit Airlines","01/02/2019","2018-11-19",44,"Monday",245.88
"5092","Spirit Airlines","01/02/2019","2018-11-20",43,"Tuesday",245.88
"5093","Spirit Airlines","01/02/2019","2018-11-21",42,"Wednesday",290.88
"5094","Spirit Airlines","01/02/2019","2018-11-22",41,"Thursday",290.88
"5095","Spirit Airlines","01/02/2019","2018-11-23",40,"Friday",290.88
"5096","Spirit Airlines","01/02/2019","2018-11-24",39,"Saturday",290.88
"5097","Spirit Airlines","01/02/2019","2018-11-27",36,"Tuesday",245.88
"5098","Spirit Airlines","01/02/2019","2018-11-28",35,"Wednesday",290.88
"5099","Spirit Airlines","01/02/2019","2018-11-29",34,"Thursday",336.87
"5100","Spirit Airlines","01/02/2019","2018-11-30",33,"Friday",336.87
"5101","Spirit Airlines","01/02/2019","2018-12-01",32,"Saturday",384.86
"5880","Sun Country Airlines","01/02/2019","2018-11-18",45,"Sunday",283.4
"5881","Sun Country Airlines","01/02/2019","2018-11-19",44,"Monday",283.4
"5882","Sun Country Airlines","01/02/2019","2018-11-20",43,"Tuesday",283.4
"5883","Sun Country Airlines","01/02/2019","2018-11-21",42,"Wednesday",283.4
"5884","Sun Country Airlines","01/02/2019","2018-11-22",41,"Thursday",283.4
"5885","Sun Country Airlines","01/02/2019","2018-11-23",40,"Friday",283.4
"5886","Sun Country Airlines","01/02/2019","2018-11-24",39,"Saturday",298.41
"5887","Sun Country Airlines","01/02/2019","2018-11-27",36,"Tuesday",283.4
"5888","Sun Country Airlines","01/02/2019","2018-11-28",35,"Wednesday",293.8
"5889","Sun Country Airlines","01/02/2019","2018-11-29",34,"Thursday",360.8
"5890","Sun Country Airlines","01/02/2019","2018-11-30",33,"Friday",360.8
"5891","Sun Country Airlines","01/02/2019","2018-12-01",32,"Saturday",360.8
"6410","United","01/02/2019","2018-11-18",45,"Sunday",296.21
"6411","United","01/02/2019","2018-11-19",44,"Monday",301.2
"6412","United","01/02/2019","2018-11-20",43,"Tuesday",301.2
"6413","United","01/02/2019","2018-11-21",42,"Wednesday",296.21
"6414","United","01/02/2019","2018-11-22",41,"Thursday",296.21
"6415","United","01/02/2019","2018-11-23",40,"Friday",356.2
"6416","United","01/02/2019","2018-11-24",39,"Saturday",296.21
"6417","United","01/02/2019","2018-11-25",38,"Sunday",305.6
"6418","United","01/02/2019","2018-11-26",37,"Monday",305.6
"6419","United","01/02/2019","2018-11-27",36,"Tuesday",304.81
"6420","United","01/02/2019","2018-11-28",35,"Wednesday",296.21
"6421","United","01/02/2019","2018-11-29",34,"Thursday",304.81
"6422","United","01/02/2019","2018-11-30",33,"Friday",304.81
"6423","United","01/02/2019","2018-12-01",32,"Saturday",256.8
"27","Alaska Airlines","01/03/2019","2018-11-18",46,"Sunday",290.2
"28","Alaska Airlines","01/03/2019","2018-11-19",45,"Monday",246.2
"29","Alaska Airlines","01/03/2019","2018-11-20",44,"Tuesday",246.2
"30","Alaska Airlines","01/03/2019","2018-11-21",43,"Wednesday",359.4
"31","Alaska Airlines","01/03/2019","2018-11-22",42,"Thursday",396.2
"32","Alaska Airlines","01/03/2019","2018-11-23",41,"Friday",359.4
"33","Alaska Airlines","01/03/2019","2018-11-25",39,"Sunday",359.4
"34","Alaska Airlines","01/03/2019","2018-11-26",38,"Monday",359.4
"35","Alaska Airlines","01/03/2019","2018-11-27",37,"Tuesday",356.2
"36","Alaska Airlines","01/03/2019","2018-11-28",36,"Wednesday",356.2
"37","Alaska Airlines","01/03/2019","2018-11-29",35,"Thursday",329.4
"38","Alaska Airlines","01/03/2019","2018-11-30",34,"Friday",336.4
"39","Alaska Airlines","01/03/2019","2018-12-01",33,"Saturday",288.8
"1198","American Airlines","01/03/2019","2018-11-18",46,"Sunday",290.2
"1199","American Airlines","01/03/2019","2018-11-19",45,"Monday",295.21
"1200","American Airlines","01/03/2019","2018-11-20",44,"Tuesday",295.21
"1201","American Airlines","01/03/2019","2018-11-21",43,"Wednesday",295.21
"1202","American Airlines","01/03/2019","2018-11-22",42,"Thursday",290.2
"1203","American Airlines","01/03/2019","2018-11-23",41,"Friday",290.2
"1204","American Airlines","01/03/2019","2018-11-24",40,"Saturday",347.895
"1205","American Airlines","01/03/2019","2018-11-25",39,"Sunday",290.2
"1206","American Airlines","01/03/2019","2018-11-26",38,"Monday",290.2
"1207","American Airlines","01/03/2019","2018-11-27",37,"Tuesday",290.2
"1208","American Airlines","01/03/2019","2018-11-28",36,"Wednesday",290.2
"1209","American Airlines","01/03/2019","2018-11-29",35,"Thursday",290.2
"1210","American Airlines","01/03/2019","2018-11-30",34,"Friday",298.8
"1211","American Airlines","01/03/2019","2018-12-01",33,"Saturday",298.8
"2525","Delta","01/03/2019","2018-11-18",46,"Sunday",300.2
"2526","Delta","01/03/2019","2018-11-19",45,"Monday",241.2
"2527","Delta","01/03/2019","2018-11-20",44,"Tuesday",241.2
"2528","Delta","01/03/2019","2018-11-21",43,"Wednesday",305.2
"2529","Delta","01/03/2019","2018-11-22",42,"Thursday",296.21
