"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"(Intercept)","204","1.01","2.39","0.01","0.19","1.94","2.3","2.4","2.49","2.81"
"n_day","237","1.01","0","0","0","-0.01","0","0","0","0"
"week1","170","1.02","-0.27","0.02","0.25","-0.89","-0.34","-0.21","-0.14","0.09"
"week2","172","1.01","-0.27","0.02","0.23","-0.83","-0.34","-0.23","-0.15","0.08"
"week3","144","1.01","-0.29","0.01","0.18","-0.62","-0.39","-0.31","-0.21","0.11"
"week4","138","1.01","-0.28","0.02","0.18","-0.6","-0.39","-0.29","-0.19","0.13"
"week5","134","1.01","-0.33","0.02","0.18","-0.66","-0.44","-0.34","-0.23","0.1"
"week6","133","1.01","-0.41","0.02","0.19","-0.76","-0.53","-0.42","-0.31","0.02"
"week7","135","1.01","-0.38","0.02","0.2","-0.75","-0.5","-0.39","-0.27","0.07"
"week8","136","1.01","-0.31","0.02","0.21","-0.69","-0.44","-0.32","-0.19","0.15"
"week9","139","1.01","-0.16","0.02","0.21","-0.57","-0.29","-0.17","-0.04","0.31"
"week10","142","1.01","-0.03","0.02","0.22","-0.45","-0.16","-0.02","0.1","0.46"
"week11","148","1.01","-0.11","0.02","0.23","-0.55","-0.25","-0.1","0.03","0.39"
"week12","153","1.01","-0.06","0.02","0.24","-0.53","-0.21","-0.05","0.09","0.44"
"week13","161","1.01","0.07","0.02","0.25","-0.43","-0.08","0.08","0.23","0.6"
"week14","167","1.01","0.15","0.02","0.27","-0.37","-0.01","0.15","0.31","0.7"
"week15","175","1.01","0.18","0.02","0.28","-0.39","0","0.18","0.35","0.74"
"airlineAmerican Airlines","1324","1","0.08","0","0.02","0.05","0.07","0.08","0.09","0.12"
"airlineDelta","1304","1","0.09","0","0.02","0.05","0.08","0.09","0.1","0.12"
"airlineJetBlue Airways","1159","1","0.03","0","0.02","0","0.02","0.03","0.04","0.06"
"airlineSpirit Airlines","1334","1","-0.07","0","0.02","-0.11","-0.09","-0.07","-0.06","-0.04"
"airlineSun Country Airlines","1565","1","-0.04","0","0.02","-0.08","-0.05","-0.04","-0.03","0"
"airlineUnited","1449","1","0.08","0","0.02","0.04","0.06","0.08","0.09","0.11"
"wk_dayMonday","1392","1","0.09","0","0.02","0.05","0.07","0.09","0.1","0.12"
"wk_daySaturday","1281","1","0.12","0","0.02","0.08","0.1","0.12","0.13","0.15"
"wk_daySunday","1220","1","0.16","0","0.02","0.12","0.15","0.16","0.17","0.2"
"wk_dayThursday","1337","1","-0.04","0","0.02","-0.07","-0.05","-0.04","-0.03","0"
"wk_dayTuesday","1135","1","0.11","0","0.02","0.07","0.1","0.11","0.12","0.14"
"wk_dayWednesday","1406","1","0.11","0","0.02","0.08","0.1","0.11","0.12","0.15"
"b[(Intercept) Date:01/01/2019]","231","1.02","0.7","0","0.07","0.57","0.65","0.7","0.74","0.83"
"b[(Intercept) Date:01/02/2019]","203","1.02","0.72","0.01","0.07","0.58","0.67","0.72","0.77","0.86"
"b[(Intercept) Date:01/03/2019]","176","1.02","0.61","0.01","0.07","0.48","0.56","0.61","0.65","0.75"
"b[(Intercept) Date:01/04/2019]","226","1.01","0.47","0","0.07","0.33","0.43","0.47","0.52","0.6"
"b[(Intercept) Date:01/05/2019]","267","1.01","0.46","0","0.07","0.32","0.41","0.46","0.51","0.6"
"b[(Intercept) Date:01/06/2019]","191","1.02","0.49","0","0.07","0.36","0.45","0.49","0.54","0.62"
"b[(Intercept) Date:01/07/2019]","193","1.02","0.14","0","0.07","0.02","0.1","0.15","0.19","0.27"
"b[(Intercept) Date:01/08/2019]","209","1.01","-0.59","0","0.07","-0.73","-0.63","-0.59","-0.54","-0.45"
"b[(Intercept) Date:01/09/2019]","248","1.01","-0.11","0","0.07","-0.25","-0.16","-0.11","-0.06","0.03"
"b[(Intercept) Date:01/10/2019]","241","1.01","-0.26","0","0.07","-0.41","-0.31","-0.26","-0.21","-0.11"
"b[(Intercept) Date:01/11/2019]","247","1.01","-0.32","0","0.07","-0.45","-0.37","-0.32","-0.27","-0.18"
"b[(Intercept) Date:01/12/2019]","215","1.01","-0.57","0","0.07","-0.7","-0.62","-0.57","-0.53","-0.44"
"b[(Intercept) Date:01/13/2019]","211","1.01","0.54","0","0.07","0.41","0.5","0.54","0.59","0.67"
"b[(Intercept) Date:01/14/2019]","217","1.01","0.15","0","0.07","0.01","0.1","0.15","0.19","0.29"
"b[(Intercept) Date:01/15/2019]","209","1.02","-0.58","0","0.07","-0.71","-0.62","-0.58","-0.53","-0.44"
"b[(Intercept) Date:01/16/2019]","202","1.01","-0.53","0","0.07","-0.66","-0.57","-0.53","-0.48","-0.4"
"b[(Intercept) Date:01/17/2019]","241","1.01","-0.32","0","0.07","-0.46","-0.37","-0.32","-0.27","-0.18"
"b[(Intercept) Date:01/18/2019]","243","1.01","-0.23","0","0.07","-0.37","-0.28","-0.23","-0.18","-0.09"
"b[(Intercept) Date:01/19/2019]","217","1.02","-0.75","0","0.07","-0.88","-0.79","-0.75","-0.7","-0.62"
"b[(Intercept) Date:01/20/2019]","206","1.01","0.49","0","0.07","0.37","0.45","0.49","0.53","0.62"
"b[(Intercept) Date:01/21/2019]","256","1.01","-0.27","0","0.07","-0.42","-0.32","-0.27","-0.22","-0.13"
"b[(Intercept) Date:01/22/2019]","227","1.01","-0.03","0","0.07","-0.17","-0.08","-0.03","0.01","0.11"
"b[(Intercept) Date:01/23/2019]","265","1.01","-0.93","0","0.08","-1.07","-0.98","-0.92","-0.87","-0.78"
"b[(Intercept) Date:01/24/2019]","212","1.02","-0.04","0","0.07","-0.17","-0.08","-0.04","0.01","0.1"
"b[(Intercept) Date:01/25/2019]","251","1.01","0.09","0","0.07","-0.05","0.04","0.09","0.14","0.23"
"b[(Intercept) Date:01/26/2019]","235","1.01","-0.17","0","0.07","-0.3","-0.21","-0.17","-0.12","-0.04"
"b[(Intercept) Date:01/27/2019]","210","1.01","0.09","0","0.07","-0.05","0.04","0.09","0.13","0.22"
"b[(Intercept) Date:01/28/2019]","251","1.01","0.03","0","0.07","-0.11","-0.02","0.02","0.07","0.16"
"b[(Intercept) Date:01/29/2019]","252","1.01","-0.7","0","0.07","-0.84","-0.75","-0.7","-0.65","-0.56"
"b[(Intercept) Date:01/30/2019]","253","1.01","0.37","0","0.07","0.23","0.32","0.37","0.41","0.5"
"b[(Intercept) Date:01/31/2019]","310","1.01","-0.26","0","0.08","-0.43","-0.32","-0.26","-0.21","-0.1"
"b[(Intercept) Date:02/01/2019]","263","1.01","-0.06","0","0.07","-0.2","-0.1","-0.06","-0.01","0.08"
"b[(Intercept) Date:02/02/2019]","260","1.01","-0.48","0","0.07","-0.62","-0.53","-0.48","-0.43","-0.34"
"b[(Intercept) Date:02/03/2019]","212","1.02","0.48","0","0.07","0.35","0.43","0.48","0.53","0.61"
"b[(Intercept) Date:02/04/2019]","223","1.02","0.04","0","0.07","-0.1","-0.01","0.04","0.08","0.17"
"b[(Intercept) Date:02/05/2019]","248","1.01","0.16","0","0.07","0.02","0.11","0.15","0.2","0.29"
"b[(Intercept) Date:02/06/2019]","275","1.01","-0.06","0","0.07","-0.2","-0.11","-0.06","-0.01","0.08"
