"","airline","Date","CurrDate","n_day","wk_day","av_price","select","week","tri_d","tp"
"1","Alaska Airlines","01/01/2019","2018-12-02",30,"Sunday",416.665,1,"4","10",3
"3","Alaska Airlines","01/01/2019","2018-12-04",28,"Tuesday",812.33,1,"4","9",3
"4","Alaska Airlines","01/01/2019","2018-12-05",27,"Wednesday",784.2,1,"4","9",3
"5","Alaska Airlines","01/01/2019","2018-12-06",26,"Thursday",428.266666666667,1,"4","9",3
"6","Alaska Airlines","01/01/2019","2018-12-07",25,"Friday",408.05,1,"4","8",3
"7","Alaska Airlines","01/01/2019","2018-12-08",24,"Saturday",407.2,1,"3","8",3
"9","Alaska Airlines","01/02/2019","2018-12-03",30,"Monday",417.6,1,"4","10",3
"10","Alaska Airlines","01/02/2019","2018-12-04",29,"Tuesday",415.666666666667,1,"4","10",3
"11","Alaska Airlines","01/02/2019","2018-12-05",28,"Wednesday",418.8,1,"4","9",3
"12","Alaska Airlines","01/02/2019","2018-12-06",27,"Thursday",844.2,1,"4","9",3
"13","Alaska Airlines","01/02/2019","2018-12-07",26,"Friday",422.1,1,"4","9",3
"16","Alaska Airlines","01/03/2019","2018-12-03",31,"Monday",330.5,1,"4","10",3
"17","Alaska Airlines","01/03/2019","2018-12-04",30,"Tuesday",330.5,1,"4","10",3
"18","Alaska Airlines","01/03/2019","2018-12-05",29,"Wednesday",369.2,1,"4","10",3
"19","Alaska Airlines","01/03/2019","2018-12-06",28,"Thursday",369.2,1,"4","9",3
"20","Alaska Airlines","01/03/2019","2018-12-07",27,"Friday",369.2,1,"4","9",3
"21","Alaska Airlines","01/03/2019","2018-12-08",26,"Saturday",366.1,1,"4","9",3
"22","Alaska Airlines","01/04/2019","2018-12-02",33,"Sunday",295.5,1,"5","11",3
"23","Alaska Airlines","01/04/2019","2018-12-03",32,"Monday",295.5,1,"5","11",3
"24","Alaska Airlines","01/04/2019","2018-12-04",31,"Tuesday",295.5,1,"4","10",3
"25","Alaska Airlines","01/04/2019","2018-12-05",30,"Wednesday",288.8,1,"4","10",3
"27","Alaska Airlines","01/04/2019","2018-12-07",28,"Friday",288.8,1,"4","9",3
"29","Alaska Airlines","01/05/2019","2018-12-02",34,"Sunday",327.133333333333,1,"5","11",3
"30","Alaska Airlines","01/05/2019","2018-12-03",33,"Monday",327.133333333333,1,"5","11",3
"32","Alaska Airlines","01/05/2019","2018-12-05",31,"Wednesday",335.6475,1,"4","10",3
"33","Alaska Airlines","01/05/2019","2018-12-06",30,"Thursday",346.831666666667,1,"4","10",3
"34","Alaska Airlines","01/05/2019","2018-12-07",29,"Friday",343.831666666667,1,"4","10",3
"35","Alaska Airlines","01/05/2019","2018-12-08",28,"Saturday",335.6475,1,"4","9",3
"36","Alaska Airlines","01/06/2019","2018-12-02",35,"Sunday",343.92,1,"5","12",3
"37","Alaska Airlines","01/06/2019","2018-12-03",34,"Monday",334.6,1,"5","11",3
"38","Alaska Airlines","01/06/2019","2018-12-04",33,"Tuesday",334.6,1,"5","11",3
"39","Alaska Airlines","01/06/2019","2018-12-05",32,"Wednesday",319.933333333333,1,"5","11",3
"40","Alaska Airlines","01/06/2019","2018-12-06",31,"Thursday",334.6,1,"4","10",3
"43","Alaska Airlines","01/07/2019","2018-12-02",36,"Sunday",172.5,1,"5","12",4
"44","Alaska Airlines","01/07/2019","2018-12-03",35,"Monday",172.5,1,"5","12",3
"45","Alaska Airlines","01/07/2019","2018-12-04",34,"Tuesday",172.5,1,"5","11",3
"47","Alaska Airlines","01/07/2019","2018-12-06",32,"Thursday",198.5,1,"5","11",3
"48","Alaska Airlines","01/07/2019","2018-12-07",31,"Friday",198.5,1,"4","10",3
"49","Alaska Airlines","01/07/2019","2018-12-08",30,"Saturday",148.2,1,"4","10",3
"50","Alaska Airlines","01/08/2019","2018-12-02",37,"Sunday",128.2,1,"5","12",4
"51","Alaska Airlines","01/08/2019","2018-12-03",36,"Monday",128.2,1,"5","12",4
