"","airline","Date","CurrDate","n_day","wk_day","av_price","select"
"1","Alaska Airlines","01/01/2019","2018-11-18",44,"Sunday",290.2,1
"2","Alaska Airlines","01/01/2019","2018-11-19",43,"Monday",293.4,1
"3","Alaska Airlines","01/01/2019","2018-11-22",40,"Thursday",308.8,1
"4","Alaska Airlines","01/01/2019","2018-11-24",38,"Saturday",308.8,1
"5","Alaska Airlines","01/01/2019","2018-11-25",37,"Sunday",356.2,1
"6","Alaska Airlines","01/01/2019","2018-11-26",36,"Monday",356.2,1
"7","Alaska Airlines","01/01/2019","2018-11-27",35,"Tuesday",359.4,1
"8","Alaska Airlines","01/01/2019","2018-11-28",34,"Wednesday",392.41,1
"9","Alaska Airlines","01/01/2019","2018-11-29",33,"Thursday",388.81,1
"10","Alaska Airlines","01/01/2019","2018-11-30",32,"Friday",397.39,1
"11","Alaska Airlines","01/01/2019","2018-12-01",31,"Saturday",397.39,1
"12","Alaska Airlines","01/02/2019","2018-11-18",45,"Sunday",290.2,1
"13","Alaska Airlines","01/02/2019","2018-11-19",44,"Monday",290.2,1
"14","Alaska Airlines","01/02/2019","2018-11-20",43,"Tuesday",290.2,1
"15","Alaska Airlines","01/02/2019","2018-11-22",41,"Thursday",356.2,1
"16","Alaska Airlines","01/02/2019","2018-11-23",40,"Friday",356.2,1
"17","Alaska Airlines","01/02/2019","2018-11-24",39,"Saturday",356.2,1
"18","Alaska Airlines","01/02/2019","2018-11-27",36,"Tuesday",392.41,1
"19","Alaska Airlines","01/02/2019","2018-11-28",35,"Wednesday",392.41,1
"20","Alaska Airlines","01/02/2019","2018-11-29",34,"Thursday",358.8,1
"21","Alaska Airlines","01/02/2019","2018-12-01",32,"Saturday",358.8,1
"22","Alaska Airlines","01/03/2019","2018-11-18",46,"Sunday",290.2,1
"23","Alaska Airlines","01/03/2019","2018-11-19",45,"Monday",246.2,1
"24","Alaska Airlines","01/03/2019","2018-11-20",44,"Tuesday",246.2,1
"25","Alaska Airlines","01/03/2019","2018-11-21",43,"Wednesday",359.4,1
"26","Alaska Airlines","01/03/2019","2018-11-22",42,"Thursday",396.2,1
"27","Alaska Airlines","01/03/2019","2018-11-23",41,"Friday",359.4,1
"28","Alaska Airlines","01/03/2019","2018-11-25",39,"Sunday",359.4,1
"29","Alaska Airlines","01/03/2019","2018-11-26",38,"Monday",359.4,1
"30","Alaska Airlines","01/03/2019","2018-11-27",37,"Tuesday",356.2,1
"31","Alaska Airlines","01/03/2019","2018-11-28",36,"Wednesday",356.2,1
"32","Alaska Airlines","01/03/2019","2018-11-30",34,"Friday",336.4,1
"33","Alaska Airlines","01/03/2019","2018-12-01",33,"Saturday",288.8,1
"34","Alaska Airlines","01/04/2019","2018-11-20",45,"Tuesday",246.2,1
"35","Alaska Airlines","01/04/2019","2018-11-22",43,"Thursday",246.2,1
"36","Alaska Airlines","01/04/2019","2018-11-23",42,"Friday",246.2,1
"37","Alaska Airlines","01/04/2019","2018-11-24",41,"Saturday",246.2,1
"38","Alaska Airlines","01/04/2019","2018-11-25",40,"Sunday",246.2,1
"39","Alaska Airlines","01/04/2019","2018-11-26",39,"Monday",246.2,1
"40","Alaska Airlines","01/04/2019","2018-11-27",38,"Tuesday",246.2,1
"41","Alaska Airlines","01/04/2019","2018-11-28",37,"Wednesday",248.2,1
"42","Alaska Airlines","01/04/2019","2018-11-30",35,"Friday",302.2,1
"43","Alaska Airlines","01/04/2019","2018-12-01",34,"Saturday",288.8,1
"44","Alaska Airlines","01/05/2019","2018-11-19",47,"Monday",213.2,1
"45","Alaska Airlines","01/05/2019","2018-11-20",46,"Tuesday",213.2,1
"46","Alaska Airlines","01/05/2019","2018-11-21",45,"Wednesday",128.2,1
"47","Alaska Airlines","01/05/2019","2018-11-23",43,"Friday",246.2,1
"48","Alaska Airlines","01/05/2019","2018-11-24",42,"Saturday",246.2,1
"49","Alaska Airlines","01/05/2019","2018-11-27",39,"Tuesday",356.2,1
"50","Alaska Airlines","01/05/2019","2018-11-28",38,"Wednesday",356.2,1
"51","Alaska Airlines","01/05/2019","2018-11-30",36,"Friday",288.8,1
"52","Alaska Airlines","01/05/2019","2018-12-01",35,"Saturday",288.8,1
"53","Alaska Airlines","01/06/2019","2018-11-18",49,"Sunday",183.2,1
"54","Alaska Airlines","01/06/2019","2018-11-19",48,"Monday",183.2,1
"55","Alaska Airlines","01/06/2019","2018-11-20",47,"Tuesday",183.2,1
"56","Alaska Airlines","01/06/2019","2018-11-21",46,"Wednesday",183.2,1
"57","Alaska Airlines","01/06/2019","2018-11-22",45,"Thursday",246.2,1
"58","Alaska Airlines","01/06/2019","2018-11-23",44,"Friday",246.2,1
"59","Alaska Airlines","01/06/2019","2018-11-24",43,"Saturday",246.2,1
"60","Alaska Airlines","01/06/2019","2018-11-26",41,"Monday",246.2,1
"61","Alaska Airlines","01/06/2019","2018-11-28",39,"Wednesday",248.2,1
"62","Alaska Airlines","01/06/2019","2018-11-29",38,"Thursday",248.8,1
"63","Alaska Airlines","01/06/2019","2018-11-30",37,"Friday",288.8,1
"64","Alaska Airlines","01/06/2019","2018-12-01",36,"Saturday",288.8,1
"65","Alaska Airlines","01/07/2019","2018-11-18",50,"Sunday",148.2,1
"66","Alaska Airlines","01/07/2019","2018-11-19",49,"Monday",148.2,1
"67","Alaska Airlines","01/07/2019","2018-11-20",48,"Tuesday",136.2,1
"68","Alaska Airlines","01/07/2019","2018-11-21",47,"Wednesday",136.2,1
"69","Alaska Airlines","01/07/2019","2018-11-22",46,"Thursday",136.2,1
"70","Alaska Airlines","01/07/2019","2018-11-24",44,"Saturday",136.2,1
"71","Alaska Airlines","01/07/2019","2018-11-25",43,"Sunday",136.2,1
"72","Alaska Airlines","01/07/2019","2018-11-26",42,"Monday",136.2,1
"73","Alaska Airlines","01/07/2019","2018-11-27",41,"Tuesday",136.2,1
"74","Alaska Airlines","01/07/2019","2018-11-29",39,"Thursday",148.2,1
"75","Alaska Airlines","01/07/2019","2018-11-30",38,"Friday",136.2,1
"76","Alaska Airlines","01/07/2019","2018-12-01",37,"Saturday",148.2,1
"77","Alaska Airlines","01/08/2019","2018-11-20",49,"Tuesday",128.2,1
"78","Alaska Airlines","01/08/2019","2018-11-21",48,"Wednesday",128.2,1
"79","Alaska Airlines","01/08/2019","2018-11-22",47,"Thursday",128.2,1
"80","Alaska Airlines","01/08/2019","2018-11-23",46,"Friday",128.2,1
"81","Alaska Airlines","01/08/2019","2018-11-24",45,"Saturday",128.2,1
"82","Alaska Airlines","01/08/2019","2018-11-25",44,"Sunday",128.2,1
"83","Alaska Airlines","01/08/2019","2018-11-26",43,"Monday",128.2,1
"84","Alaska Airlines","01/08/2019","2018-11-27",42,"Tuesday",118.2,1
"85","Alaska Airlines","01/08/2019","2018-11-28",41,"Wednesday",118.2,1
"86","Alaska Airlines","01/08/2019","2018-11-29",40,"Thursday",128.2,1
"87","Alaska Airlines","01/08/2019","2018-11-30",39,"Friday",128.2,1
"88","Alaska Airlines","01/08/2019","2018-12-01",38,"Saturday",128.2,1
"89","Alaska Airlines","01/09/2019","2018-11-19",51,"Monday",290.2,1
"90","Alaska Airlines","01/09/2019","2018-11-20",50,"Tuesday",356.2,1
"91","Alaska Airlines","01/09/2019","2018-11-21",49,"Wednesday",118.2,1
"92","Alaska Airlines","01/09/2019","2018-11-22",48,"Thursday",128.2,1
"93","Alaska Airlines","01/09/2019","2018-11-26",44,"Monday",272.4,1
"94","Alaska Airlines","01/09/2019","2018-11-28",42,"Wednesday",118.2,1
"95","Alaska Airlines","01/09/2019","2018-11-29",41,"Thursday",118.2,1
"96","Alaska Airlines","01/09/2019","2018-11-30",40,"Friday",256.4,1
"97","Alaska Airlines","01/09/2019","2018-12-01",39,"Saturday",128.2,1
"98","Alaska Airlines","01/10/2019","2018-11-18",53,"Sunday",221.2,1
"99","Alaska Airlines","01/10/2019","2018-11-19",52,"Monday",136.2,1
"100","Alaska Airlines","01/10/2019","2018-11-20",51,"Tuesday",136.2,1
"101","Alaska Airlines","01/10/2019","2018-11-21",50,"Wednesday",136.2,1
"102","Alaska Airlines","01/10/2019","2018-11-22",49,"Thursday",136.2,1
"103","Alaska Airlines","01/10/2019","2018-11-23",48,"Friday",136.2,1
"104","Alaska Airlines","01/10/2019","2018-11-29",42,"Thursday",136.2,1
"105","Alaska Airlines","01/10/2019","2018-11-30",41,"Friday",136.2,1
"106","Alaska Airlines","01/10/2019","2018-12-01",40,"Saturday",136.2,1
"107","Alaska Airlines","01/11/2019","2018-11-18",54,"Sunday",136.2,1
"108","Alaska Airlines","01/11/2019","2018-11-19",53,"Monday",136.2,1
"109","Alaska Airlines","01/11/2019","2018-11-20",52,"Tuesday",136.2,1
"110","Alaska Airlines","01/11/2019","2018-11-21",51,"Wednesday",136.2,1
"111","Alaska Airlines","01/11/2019","2018-11-23",49,"Friday",136.2,1
