"","airline","Date","CurrDate","n_day","wk_day","ch_price","avg_pr","mean_pd_od"
"14","Alaska Airlines","01/01/2019","2018-12-01",31,"Saturday",397.39,0,0
"13","Alaska Airlines","01/01/2019","2018-11-30",32,"Friday",397.39,0,0.719696016507712
"12","Alaska Airlines","01/01/2019","2018-11-29",33,"Thursday",388.81,2.15908804952313,0.411061979317308
"11","Alaska Airlines","01/01/2019","2018-11-28",34,"Wednesday",392.41,-0.92590211157121,3.21510197150236
"10","Alaska Airlines","01/01/2019","2018-11-27",35,"Tuesday",359.4,8.41211997655514,2.79219690287073
"9","Alaska Airlines","01/01/2019","2018-11-26",36,"Monday",356.2,0.890372843628266,3.10083094006114
"8","Alaska Airlines","01/01/2019","2018-11-25",37,"Sunday",356.2,0,4.73250122300242
"7","Alaska Airlines","01/01/2019","2018-11-24",38,"Saturday",308.8,13.307130825379,4.43571027512633
"6","Alaska Airlines","01/01/2019","2018-11-23",39,"Friday",308.8,0,4.43571027512633
"5","Alaska Airlines","01/01/2019","2018-11-22",40,"Thursday",308.8,0,0
"4","Alaska Airlines","01/01/2019","2018-11-21",41,"Wednesday",308.8,0,5.3972366148532
"3","Alaska Airlines","01/01/2019","2018-11-20",42,"Tuesday",258.8,16.1917098445596,0.940770875543566
"2","Alaska Airlines","01/01/2019","2018-11-19",43,"Monday",293.4,-13.3693972179289,1.30432461333043
"1","Alaska Airlines","01/01/2019","2018-11-18",44,"Sunday",290.2,1.0906612133606,-4.09291200152276
"26","Alaska Airlines","01/02/2019","2018-12-01",32,"Saturday",358.8,0,0
"25","Alaska Airlines","01/02/2019","2018-11-30",33,"Friday",358.8,0,0
"24","Alaska Airlines","01/02/2019","2018-11-29",34,"Thursday",358.8,0,-3.12244518766258
"23","Alaska Airlines","01/02/2019","2018-11-28",35,"Wednesday",392.41,-9.36733556298774,-3.12244518766258
"22","Alaska Airlines","01/02/2019","2018-11-27",36,"Tuesday",392.41,0,-2.0971570111805
"21","Alaska Airlines","01/02/2019","2018-11-24",39,"Saturday",356.2,3.07586452944625,1.02528817648208
"20","Alaska Airlines","01/02/2019","2018-11-23",40,"Friday",356.2,0,1.02528817648208
"19","Alaska Airlines","01/02/2019","2018-11-22",41,"Thursday",356.2,0,1.48029736616688e-16
"18","Alaska Airlines","01/02/2019","2018-11-21",42,"Wednesday",356.2,0,6.17630544637844
"17","Alaska Airlines","01/02/2019","2018-11-20",43,"Tuesday",290.2,18.5289163391353,6.17630544637844
"16","Alaska Airlines","01/02/2019","2018-11-19",44,"Monday",290.2,0,6.17630544637844
"15","Alaska Airlines","01/02/2019","2018-11-18",45,"Sunday",290.2,0,0
"39","Alaska Airlines","01/03/2019","2018-12-01",33,"Saturday",288.8,0,-5.49399815327793
"38","Alaska Airlines","01/03/2019","2018-11-30",34,"Friday",336.4,-16.4819944598338,-4.80037944539049
"37","Alaska Airlines","01/03/2019","2018-11-29",35,"Thursday",329.4,2.08085612366231,-7.51238106449594
"36","Alaska Airlines","01/03/2019","2018-11-28",36,"Wednesday",356.2,-8.13600485731634,-2.01838291121801
"35","Alaska Airlines","01/03/2019","2018-11-27",37,"Tuesday",356.2,0,-3.01145885286925
"34","Alaska Airlines","01/03/2019","2018-11-26",38,"Monday",359.4,-0.898371701291406,-0.299457233763802
"33","Alaska Airlines","01/03/2019","2018-11-25",39,"Sunday",359.4,0,-0.299457233763802
"32","Alaska Airlines","01/03/2019","2018-11-23",41,"Friday",359.4,0,-3.41309590057503
"31","Alaska Airlines","01/03/2019","2018-11-22",42,"Thursday",396.2,-10.2392877017251,-0.317016479407272
"30","Alaska Airlines","01/03/2019","2018-11-21",43,"Wednesday",359.4,9.28823826350328,-0.317016479407272
"28","Alaska Airlines","01/03/2019","2018-11-19",45,"Monday",246.2,0,-2.86113693409896
"27","Alaska Airlines","01/03/2019","2018-11-18",46,"Sunday",290.2,-17.8716490658002,-5.95721635526672
"53","Alaska Airlines","01/04/2019","2018-12-01",34,"Saturday",288.8,0,-1.5466297322253
"52","Alaska Airlines","01/04/2019","2018-11-30",35,"Friday",302.2,-4.63988919667589,4.34350924858211
"51","Alaska Airlines","01/04/2019","2018-11-29",36,"Thursday",248.8,17.6704169424222,4.42389510067215
"50","Alaska Airlines","01/04/2019","2018-11-28",37,"Wednesday",248.2,0.241157556270106,6.23912542381874
"49","Alaska Airlines","01/04/2019","2018-11-27",38,"Tuesday",246.2,0.8058017727639,0.348986443011334
"48","Alaska Airlines","01/04/2019","2018-11-26",39,"Monday",246.2,0,0.268600590921299
"47","Alaska Airlines","01/04/2019","2018-11-25",40,"Sunday",246.2,0,-9.62193288008469e-16
"46","Alaska Airlines","01/04/2019","2018-11-24",41,"Saturday",246.2,0,-9.62193288008469e-16
"45","Alaska Airlines","01/04/2019","2018-11-23",42,"Friday",246.2,0,-9.62193288008469e-16
"44","Alaska Airlines","01/04/2019","2018-11-22",43,"Thursday",246.2,0,-9.62193288008469e-16
"43","Alaska Airlines","01/04/2019","2018-11-21",44,"Wednesday",246.2,0,-9.62193288008469e-16
"42","Alaska Airlines","01/04/2019","2018-11-20",45,"Tuesday",246.2,0,-9.62193288008469e-16
"41","Alaska Airlines","01/04/2019","2018-11-19",46,"Monday",246.2,0,-9.62193288008469e-16
"40","Alaska Airlines","01/04/2019","2018-11-18",47,"Sunday",246.2,0,-9.62193288008469e-16
"67","Alaska Airlines","01/05/2019","2018-12-01",35,"Saturday",288.8,0,0
"66","Alaska Airlines","01/05/2019","2018-11-30",36,"Friday",288.8,0,0
"65","Alaska Airlines","01/05/2019","2018-11-29",37,"Thursday",288.8,0,0
"63","Alaska Airlines","01/05/2019","2018-11-27",39,"Tuesday",356.2,0,0
"61","Alaska Airlines","01/05/2019","2018-11-25",41,"Sunday",246.2,0,0
"60","Alaska Airlines","01/05/2019","2018-11-24",42,"Saturday",246.2,0,0
"59","Alaska Airlines","01/05/2019","2018-11-23",43,"Friday",246.2,0,0
"55","Alaska Airlines","01/05/2019","2018-11-19",47,"Monday",213.2,0,0
"81","Alaska Airlines","01/06/2019","2018-12-01",36,"Saturday",288.8,0,0
